#EventID | Time | Latitude | Longitude | Depth/km | Author | Catalog | Contributor | ContributorID | MagType | Magnitude | MagAuthor | EventLocationName
10453182|2017-11-08T07:35:11|-21.8611|-179.4282|582.59|us|NEIC PDE|us|us2000bk9d|Mww|5.7|us|FIJI ISLANDS REGION
10452819|2017-11-07T09:01:39|-17.6795|-178.5379|554.72|us|NEIC PDE|us|us2000bjrq|Mww|5.7|us|FIJI ISLANDS REGION
10452239|2017-11-05T01:35:28|-18.6496|-177.7449|482.88|us|NEIC PDE|us|us2000biq7|Mww|5.5|us|FIJI ISLANDS REGION
10447967|2017-10-24T10:47:47|-7.2364|123.0401|549.19|us|NEIC PDE|us|us1000aw8q|Mww|6.7|us|BANDA SEA
10409462|2017-09-28T23:11:16|-24.8371|-179.7527|445.53|us|NEIC PDE|us|us2000aw9p|Mww|5.4|us|SOUTH OF FIJI ISLANDS
10408743|2017-09-26T21:29:06|-23.5856|-179.9476|538.01|us|NEIC PDE|us|us2000av40|Mww|5.4|us|SOUTH OF FIJI ISLANDS
10408478|2017-09-26T01:42:42|-18.0618|-178.2892|578.88|us|NEIC PDE|us|us2000aus0|mb|5.1|us|FIJI ISLANDS REGION
10406906|2017-09-20T23:59:24|-6.1113|113.024|588.0|us|NEIC PDE|us|us2000as7r|Mww|5.7|us|JAVA, INDONESIA
10401795|2017-09-07T17:36:15|-25.7528|-179.9352|480.25|us|NEIC PDE|us|us2000ahm8|mb|5.0|us|SOUTH OF FIJI ISLANDS
10401792|2017-09-07T17:26:49|27.7829|139.8041|451.0|us|NEIC PDE|us|us2000ahlq|Mww|6.1|us|BONIN ISLANDS, JAPAN REGION
10394345|2017-08-19T02:00:52|-17.9609|-178.8406|544.0|us|NEIC PDE|us|us2000a9n1|Mww|6.4|us|FIJI ISLANDS REGION
10390565|2017-08-10T00:43:19|9.498|124.0866|524.62|us|NEIC PDE|us|us2000a6rc|mb|5.0|us|MINDANAO, PHILIPPINES
10386428|2017-08-01T09:40:01|-6.0463|154.5276|429.78|us|NEIC PDE|us|us2000a363|mb|5.1|us|SOLOMON ISLANDS
10281536|2017-07-30T03:30:40|-21.0144|-178.6514|575.0|us|NEIC PDE|us|us2000a2m0|mb|5.0|us|FIJI ISLANDS REGION
10274708|2017-07-12T19:48:07|40.8548|131.6565|545.0|us|NEIC PDE|us|us20009vsi|Mww|5.9|us|SEA OF JAPAN
10269872|2017-06-29T07:03:12|-31.106|179.9269|414.61|us|NEIC PDE|us|us1000954z|Mww|6.0|us|KERMADEC ISLANDS REGION
10227651|2017-06-17T22:26:01|-24.0934|179.6059|511.0|us|NEIC PDE|us|us20009nc2|Mww|6.1|us|SOUTH OF FIJI ISLANDS
10201537|2017-06-07T21:07:45|-17.7931|-178.8103|540.11|us|NEIC PDE|us|us20009l6m|mb|5.0|us|FIJI ISLANDS REGION
10161849|2017-05-26T06:27:30|-21.036|-178.677|561.79|us|NEIC PDE|us|us10008vfc|mb|5.0|us|FIJI ISLANDS REGION
10159151|2017-05-20T01:06:14|9.3849|123.9583|533.0|us|NEIC PDE|us|us10008tp0|Mww|6.0|us|NEGROS, PHILIPPINES
10227101|2017-05-17T03:31:40|-24.9048|-178.9528|437.21|us|NEIC PDE|us|us10008uui|mb|5.0|us|SOUTH OF FIJI ISLANDS
10154675|2017-05-06T09:52:28|36.6476|71.5463|400.57|us|NEIC PDE|us|us10008q25|mb|5.0|us|AFGHANISTAN-TAJIKISTAN BORD REG.
10101166|2017-04-26T17:31:13|-17.9167|-178.4967|567.7|us|NEIC PDE|us|us10008l2y|mb|5.0|us|FIJI ISLANDS REGION
10087356|2017-04-18T17:11:47|-18.0851|-178.3718|628.0|us|NEIC PDE|us|us10008iph|Mww|6.0|us|FIJI ISLANDS REGION
10049656|2017-04-13T17:05:55|-18.2279|-178.1683|502.06|us|NEIC PDE|us|us10008hbv|Mww|5.8|us|FIJI ISLANDS REGION
10041266|2017-03-16T08:29:14|-23.7171|179.1573|536.75|us|NEIC PDE|us|us20008sfq|mb|5.0|us|SOUTH OF FIJI ISLANDS
10040544|2017-03-14T04:36:30|-5.6735|110.1787|541.23|us|NEIC PDE|us|us100088t6|mb|5.2|us|JAVA SEA
10039985|2017-03-12T10:09:36|-21.6348|-179.2367|584.4|us|NEIC PDE|us|us100088hw|mb|5.1|us|FIJI ISLANDS REGION
10006495|2017-03-06T18:18:02|-24.0181|179.0176|557.93|us|NEIC PDE|us|us100087c9|mb|5.0|us|SOUTH OF FIJI ISLANDS
10003813|2017-02-24T23:46:45|-17.9678|-178.4533|581.4|us|NEIC PDE|us|us20008man|Mww|5.9|us|FIJI ISLANDS REGION
10003583|2017-02-24T17:28:44|-23.2601|-178.8033|414.89|at,us,pt|NEIC PDE|us|pt17055051,at00olw37x,us20008m3t|mww|6.9|us|SOUTH OF FIJI ISLANDS
10001810|2017-02-21T14:09:04|-19.2814|-63.9047|595.98|us|NEIC PDE|us|us20008l41|Mww|6.5|us|SOUTHERN BOLIVIA
10001397|2017-02-16T12:10:00|-20.6938|-178.5661|586.96|us|NEIC PDE|us|us20008k6s|mb|5.1|us|FIJI ISLANDS REGION
10000017|2017-02-11T11:15:57|-23.7544|-179.9039|496.96|us|NEIC PDE|us|us20008j60|mb|5.0|us|SOUTH OF FIJI ISLANDS
9999013|2017-02-08T00:06:44|-18.0655|-178.4127|623.85|us|NEIC PDE|us|us20008id1|mb|5.1|us|FIJI ISLANDS REGION
9996795|2017-01-31T15:55:57|-6.9967|125.4125|492.53|us|NEIC PDE|us|us10007wf4|Mww|5.4|us|BANDA SEA
9954737|2017-01-12T17:04:59|41.7478|132.9948|496.27|us|NEIC PDE|us|us10007swd|Mww|5.4|us|SEA OF JAPAN
9953968|2017-01-10T06:13:47|4.4634|122.575|612.71|at,us|NEIC PDE|us|at00ojjvz0,us10007s9c|Mww|7.3|us|CELEBES SEA
9951393|2017-01-02T13:14:02|-23.2513|179.2383|551.62|us|NEIC PDE|us|us10007p7m|Mww|6.3|us|SOUTH OF FIJI ISLANDS
9951374|2017-01-02T10:15:15|-23.2769|179.2614|547.77|us|NEIC PDE|us|us10007p6z|mb|5.3|us|SOUTH OF FIJI ISLANDS
9946953|2016-12-18T13:30:11|-9.9661|-70.9698|622.53|us|NEIC PDE|us|us200082an|Mww|6.4|us|PERU-BRAZIL BORDER REGION
9913686|2016-12-13T02:46:34|-18.8608|-177.9863|444.11|us|NEIC PDE|us|us200080dk|mb|5.1|us|FIJI ISLANDS REGION
9911475|2016-12-06T16:49:18|-31.0196|-179.8025|405.25|us|NEIC PDE|us|us10007f78|mb|5.0|us|KERMADEC ISLANDS REGION
5199736|2016-12-05T01:13:04|-7.3158|123.3802|526.0|us|NEIC PDE|us|us10007ev8|Mww|6.3|us|BANDA SEA
5199336|2016-11-30T22:07:29|-21.3301|-179.1441|596.27|us|NEIC PDE|us|us10007dw1|mb|5.1|us|FIJI ISLANDS REGION
5198598|2016-11-23T09:59:56|27.1549|140.0256|477.19|us|NEIC PDE|us|us10007br5|mb|5.7||BONIN ISLANDS, JAPAN REGION
5198524|2016-11-22T16:03:28|-24.91|179.8007|495.1|us|NEIC PDE|us|us10007bfy|mb|5.0|us|SOUTH OF FIJI ISLANDS
5197662|2016-11-12T16:15:51|-24.9651|178.6596|564.95|us|NEIC PDE|us|us1000774l|mb|5.5|us|SOUTH OF FIJI ISLANDS
5197496|2016-11-10T17:35:38|-20.4275|-178.223|543.92|us|NEIC PDE|us|us100076pv|mww|5.6||FIJI ISLANDS REGION
5199416|2016-11-09T14:51:25|-4.6798|150.4587|488.3|us|NEIC PDE|us|us100078sm|mb|5.0||NEW BRITAIN REGION, P.N.G.
5197427|2016-11-09T14:50:59|-4.7403|149.8713|448.76|us|NEIC PDE|us|us100076hl|mww|5.9||BISMARCK SEA
5197374|2016-11-08T23:30:20|-27.2512|-63.3108|558.61|us|NEIC PDE|us|us100076d3|mb|5.1||SANTIAGO DEL ESTERO PROV., ARG.
5196517|2016-10-28T20:02:48|39.3134|13.536|448.48|us,gcmt|NEIC PDE|us|us100072su,gcmt20161028200248|Mww|5.8|us|TYRRHENIAN SEA
5195977|2016-10-20T07:49:42|-17.9749|-179.4804|653.46|us|NEIC PDE|us|us20007fjb|mb|5.0|us|FIJI ISLANDS REGION
5195921|2016-10-19T00:26:01|-4.8626|108.1627|614.0|us,gcmt|NEIC PDE|us|us20007f7j,gcmt20161019002601|mww|6.6|us|JAVA SEA
