#EventID | Time | Latitude | Longitude | Depth/km | Author | Catalog | Contributor | ContributorID | MagType | Magnitude | MagAuthor | EventLocationName | gcmt_lat | gcmt_lon | gcmt_dep | gcmt_mag | gcmt magtype| M0(dyne_cm)
10003583|2017-02-24T17:28:44|-23.2601|-178.8033|414.89|at,us,pt|NEIC PDE|us|pt17055051,at00olw37x,us20008m3t|mww|6.9|us|SOUTH OF FIJI ISLANDS|-23.44|-178.77|417.9|6.9|Mw|3.32e26
10001810|2017-02-21T14:09:04|-19.2814|-63.9047|595.98|us|NEIC PDE|us|us20008l41|Mww|6.5|us|SOUTHERN BOLIVIA|-19.27|-63.79|606.0|6.5|Mw|7.01e25
9999013|2017-02-08T00:06:44|-18.0655|-178.4127|623.85|us|NEIC PDE|us|us20008id1|mb|5.1|us|FIJI ISLANDS REGION|-18.02|-178.40|642.7|5.8|Mw|6.15e24
9953968|2017-01-10T06:13:47|4.4634|122.575|612.71|at,us|NEIC PDE|us|at00ojjvz0,us10007s9c|Mww|7.3|us|CELEBES SEA|4.57|122.78|621.5|7.3|Mw|1e27
9951393|2017-01-02T13:14:02|-23.2513|179.2383|551.62|us|NEIC PDE|us|us10007p7m|Mww|6.3|us|SOUTH OF FIJI ISLANDS|-23.29|179.29|572.8|6.3|Mw|3.75e25
9951374|2017-01-02T10:15:15|-23.2769|179.2614|547.77|us|NEIC PDE|us|us10007p6z|mb|5.3|us|SOUTH OF FIJI ISLANDS|-23.27|179.27|568.5|5.9|Mw|9.52e24
9946953|2016-12-18T13:30:11|-9.9661|-70.9698|622.53|us|NEIC PDE|us|us200082an|Mww|6.4|us|PERU-BRAZIL BORDER REGION|-10.02|-70.98|638.0|6.4|Mw|5.64e25
5199736|2016-12-05T01:13:04|-7.3158|123.3802|526.0|us|NEIC PDE|us|us10007ev8|Mww|6.3|us|BANDA SEA|-7.36|123.46|531.9|6.3|Mw|3.32e25
5199336|2016-11-30T22:07:29|-21.3301|-179.1441|596.27|us|NEIC PDE|us|us10007dw1|mb|5.1|us|FIJI ISLANDS REGION|-21.27|-179.18|628.8|5.5|Mw|1.91e24
5198598|2016-11-23T09:59:56|27.1549|140.0256|477.19|us|NEIC PDE|us|us10007br5|mb|5.7||BONIN ISLANDS, JAPAN REGION|27.36|140.02|491.1|5.8|Mw|6.68e24
5197662|2016-11-12T16:15:51|-24.9651|178.6596|564.95|us|NEIC PDE|us|us1000774l|mb|5.5|us|SOUTH OF FIJI ISLANDS|-24.87|178.64|565.9|5.9|Mw|8.26e24
5197496|2016-11-10T17:35:38|-20.4275|-178.223|543.92|us|NEIC PDE|us|us100076pv|mww|5.6||FIJI ISLANDS REGION|-20.31|-178.43|560.7|5.6|Mw|3.27e24
5197427|2016-11-09T14:50:59|-4.7403|149.8713|448.76|us|NEIC PDE|us|us100076hl|mww|5.9||BISMARCK SEA|-4.62|149.84|462.7|5.9|Mw|1.05e25
5196517|2016-10-28T20:02:48|39.3134|13.536|448.48|us,gcmt|NEIC PDE|us|us100072su,gcmt20161028200248|Mww|5.8|us|TYRRHENIAN SEA|39.35|13.62|462.5|5.8|Mw|6.81e24
5195977|2016-10-20T07:49:42|-17.9749|-179.4804|653.46|us|NEIC PDE|us|us20007fjb|mb|5.0|us|FIJI ISLANDS REGION|-18.02|-179.40|649.5|5.5|Mw|2.12e24
5195921|2016-10-19T00:26:01|-4.8626|108.1627|614.0|us,gcmt|NEIC PDE|us|us20007f7j,gcmt20161019002601|mww|6.6|us|JAVA SEA|-4.95|108.07|622.8|6.6|Mw|1.03e26
5195908|2016-10-18T16:36:41|-23.3265|-179.843|540.0|us,gcmt|NEIC PDE|us|us20007f3s,gcmt20161018163641|Mww|5.9|us|SOUTH OF FIJI ISLANDS|-23.39|-179.78|551.8|5.9|Mw|1.05e25
5195705|2016-10-15T08:03:38|-4.2701|150.3605|442.0|us,gcmt|NEIC PDE|us|us20007ebu,gcmt20161015080338|Mww|6.3|us|NEW BRITAIN REGION, P.N.G.|-4.16|150.40|452.6|6.3|Mw|3.86e25
5194926|2016-10-01T04:25:43|-23.5705|-179.9448|522.44|us|NEIC PDE|us|us10006uaw|mb|5.3|us|SOUTH OF FIJI ISLANDS|-23.69|-179.85|540.7|5.8|Mw|7.38e24
9376197|2016-09-24T21:28:41|-19.7819|-178.2443|596.4|at,us,gcmt|NEIC PDE|us|at00oe12bt,us10006scr,gcmt20160924212841|Mww|6.9|us|FIJI ISLANDS REGION|-19.77|-178.15|606.8|6.9|Mw|2.99e26
5191914|2016-08-31T03:11:36|-3.6914|152.7879|499.06|us,pt,gcmt|NEIC PDE||gcmt20160831031136,pt16244050,us10006iy0|mwp|6.7|us,pt,gcmt|NEW IRELAND REGION, P.N.G.|-3.58|152.86|491.0|6.8|Mw|1.84e26
5191455|2016-08-25T17:04:43|30.6151|137.8462|456.0|us,gcmt|NEIC PDE||us20006ty8,gcmt20160825170443|mww|5.9|us,gcmt|SOUTHEAST OF HONSHU, JAPAN|30.96|137.78|473.2|5.9|Mw|9.18e24
