Data Set S1
event_ID                  yr   mon  day    hr    min   sec        m0      Mw  mb     lat     lon     depth   fc       stress_drop   rms         nstat
Event_1992_109_09_16_53  1992   4    18     9    16   53.60   9.1600e+25  6.6 5.7   -5.484  102.880  29.0   0.0900    1.5190e+00    1.5660e-01    6
Event_1992_110_18_32_19  1992   4    19    18    32   19.90   1.5600e+25  6.1 5.9   23.889  121.547  16.0   0.1195    6.0570e-01    1.0270e-01    5
Event_1992_115_07_07_25  1992   4    24     7     7   25.10   1.2780e+25  6.0 5.9   27.534   66.093  25.0   0.3880    1.6990e+01    9.3880e-02    3
Event_1992_117_07_41_39  1992   4    26     7    41   39.70   5.9600e+25  6.5 6.0   40.508 -124.307  20.0   0.1305    3.0140e+00    1.0600e-01    3
Event_1992_117_11_18_25  1992   4    26    11    18   25.70   9.9800e+25  6.6 6.6   40.421 -124.416  22.0   0.1210    4.0230e+00    1.0210e-01   11
Event_1992_121_11_44_38  1992   4    30    11    44   38.60   5.1700e+24  5.7 5.7   35.103   26.667  27.3   0.3515    5.1090e+00    1.2490e-01    3
Event_1992_128_06_23_40  1992   5     7     6    23   40.40   1.1400e+25  6.0 5.8   41.215  144.682  13.0   0.1885    1.7370e+00    1.2200e-01   10
Event_1992_133_18_05_45  1992   5    12    18     5   45.40   1.2230e+26  6.7 6.3  -16.540 -172.291  15.0   0.1035    3.0850e+00    6.2070e-02   12
Event_1992_136_07_05_04  1992   5    15     7     5    4.70   8.0900e+26  7.2 6.2   -6.057  147.614  58.0   0.0225    2.0970e-01    1.1910e-01   16
Event_1992_138_21_36_00  1992   5    17    21    36    0.10   7.3100e+24  5.8 5.7   -6.443  153.254  29.8   0.1400    4.5640e-01    9.6380e-02    3
Event_1992_139_03_02_21  1992   5    18     3     2   21.10   1.7400e+25  6.1 5.6  -33.612  -71.998  32.1   0.2145    3.9070e+00    1.0520e-01    3
Event_1992_139_23_19_20  1992   5    18    23    19   20.00   3.3000e+25  6.3 6.0    7.346  -82.328  18.0   0.3345    2.8100e+01    1.0040e-01    9
